R,G,B,Class
204,188,169,o
204,187,168,o
204,188,167,o
205,187,166,o
205,184,162,o
201,167,145,o
170,116,100,o
141,78,69,o
134,66,61,o
132,63,60,o
131,61,59,o
130,60,58,o
130,60,59,o
129,59,59,o
129,59,59,o
128,58,59,o
128,58,59,o
128,58,59,o
128,58,59,o
128,58,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,56,59,o
129,56,59,o
129,56,59,o
129,56,59,o
129,56,60,o
129,57,61,o
129,57,61,o
129,58,63,o
207,196,176,o
208,195,174,o
208,194,172,o
208,193,171,o
209,192,169,o
209,191,167,o
210,189,165,o
211,188,163,o
211,187,161,o
212,183,156,o
211,172,144,o
202,138,110,o
199,121,95,o
199,118,92,o
200,118,92,o
200,118,93,o
201,120,94,o
202,120,95,o
203,122,96,o
204,123,97,o
205,124,98,o
206,124,99,o
206,125,99,o
206,126,100,o
206,126,100,o
207,127,100,o
207,127,100,o
207,127,100,o
206,126,99,o
206,126,99,o
205,126,98,o
204,125,97,o
204,124,96,o
203,123,96,o
202,122,95,o
201,121,95,o
201,120,95,o
200,120,95,o
200,120,95,o
200,120,96,o
199,120,97,o
198,121,100,o
198,133,114,o
207,170,151,o
210,184,163,o
210,190,169,o
210,192,171,o
209,193,172,o
208,193,173,o
207,193,174,o
207,194,175,o
206,194,175,o
206,194,175,o
205,193,175,o
206,193,176,o
206,194,177,o
206,193,176,o
207,193,176,o
206,192,175,o
205,190,173,o
204,188,171,o
203,187,169,o
203,187,168,o
203,187,168,o
203,187,167,o
203,187,168,o
203,187,167,o
204,187,168,o
204,187,168,o
204,187,168,o
204,187,168,o
205,187,168,o
206,188,168,o
206,187,167,o
207,187,166,o
207,186,165,o
207,185,164,o
207,182,160,o
208,182,160,o
208,178,155,o
204,151,124,o
201,129,102,o
201,121,96,o
202,119,94,o
203,118,94,o
203,118,94,o
204,118,93,o
204,118,93,o
204,116,92,o
205,116,91,o
205,116,91,o
206,115,91,o
206,115,91,o
206,115,91,o
206,115,91,o
205,114,91,o
205,114,91,o
204,114,92,o
203,114,92,o
202,115,93,o
201,115,94,o
200,116,95,o
199,117,96,o
196,118,97,o
194,123,102,o
192,137,115,o
197,161,138,o
203,178,157,o
204,182,162,o
205,183,163,o
205,184,164,o
205,185,165,o
205,185,166,o
205,186,166,o
205,186,166,o
204,186,167,o
204,187,167,o
205,187,167,o
205,187,167,o
204,187,167,o
204,187,167,o
205,188,167,o
205,188,168,o
205,188,167,o
204,188,167,o
204,188,167,o
204,188,167,o
204,188,167,o
203,188,167,o
203,188,167,o
203,187,167,o
203,188,168,o
202,188,168,o
202,188,168,o
202,188,169,o
202,188,169,o
202,188,169,o
202,188,169,o
203,188,168,o
203,188,168,o
203,187,168,o
204,188,168,o
204,187,167,o
205,186,165,o
205,183,161,o
199,161,139,o
170,116,100,o
146,84,73,o
133,65,60,o
131,62,59,o
130,61,59,o
130,60,58,o
129,59,58,o
129,59,59,o
128,58,58,o
128,58,58,o
128,57,58,o
128,57,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,57,59,o
128,56,59,o
128,56,59,o
128,56,59,o
128,56,59,o
128,55,58,o
128,55,59,o
128,56,60,o
128,57,61,o
129,57,61,o
129,58,62,o
207,195,175,o
208,195,174,o
208,194,173,o
208,193,171,o
209,192,169,o
209,191,168,o
210,189,165,o
211,188,163,o
211,187,161,o
212,183,155,o
210,169,141,o
200,131,104,o
198,119,93,o
199,118,92,o
200,118,93,o
201,120,94,o
201,120,95,o
202,120,95,o
203,121,96,o
204,123,98,o
205,124,98,o
206,125,99,o
206,126,100,o
206,126,100,o
207,127,100,o
207,127,100,o
207,127,100,o
206,127,100,o
206,127,99,o
206,126,99,o
205,126,98,o
204,125,97,o
203,124,97,o
203,123,96,o
202,122,95,o
201,121,96,o
201,121,95,o
200,120,95,o
200,120,95,o
200,119,95,o
199,119,96,o
198,122,100,o
201,141,122,o
210,175,155,o
212,187,166,o
212,192,170,o
211,194,172,o
210,195,174,o
209,195,174,o
208,195,175,o
208,195,176,o
207,195,176,o
206,194,176,o
206,194,177,o
207,195,178,o
207,195,178,o
208,195,179,o
208,195,179,o
208,194,178,o
207,192,176,o
206,191,174,o
205,189,171,o
204,188,170,o
203,188,169,o
204,188,170,o
205,190,172,o
205,189,171,o
205,189,171,o
205,189,170,o
205,188,170,o
205,188,169,o
205,188,169,o
207,189,170,o
207,189,169,o
207,188,168,o
207,186,166,o
207,184,163,o
207,182,161,o
209,183,161,o
209,179,156,o
206,156,129,o
201,128,101,o
202,121,96,o
203,119,95,o
204,119,94,o
204,118,94,o
205,118,94,o
205,118,93,o
205,117,92,o
205,116,92,o
206,116,91,o
206,116,91,o
206,115,91,o
206,115,91,o
206,115,91,o
206,115,91,o
205,114,91,o
204,114,92,o
203,115,92,o
203,115,93,o
202,115,94,o
201,116,95,o
199,116,96,o
198,117,96,o
195,120,100,o
193,135,114,o
196,157,134,o
202,175,153,o
204,181,160,o
205,183,163,o
204,183,163,o
205,184,164,o
205,185,165,o
205,186,166,o
205,186,166,o
204,186,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
205,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,188,167,o
203,187,167,o
203,187,167,o
203,187,167,o
203,187,168,o
202,187,168,o
202,187,168,o
202,187,168,o
202,188,168,o
202,188,168,o
202,188,168,o
203,187,168,o
203,187,167,o
203,187,167,o
204,187,167,o
204,187,166,o
204,185,163,o
205,180,157,o
197,156,135,o
171,116,100,o
140,76,68,o
132,63,59,o
130,60,58,o
130,60,58,o
129,59,58,o
129,59,58,o
128,58,58,o
128,58,58,o
127,57,58,o
127,57,58,o
127,57,58,o
127,57,58,o
127,57,59,o
127,56,59,o
127,56,59,o
127,56,59,o
127,56,58,o
127,56,58,o
127,55,58,o
128,55,58,o
128,55,58,o
128,55,58,o
128,55,58,o
128,55,59,o
128,56,60,o
128,57,61,o
128,58,62,o
207,195,175,o
208,195,174,o
208,194,173,o
209,193,171,o
209,192,170,o
209,191,168,o
210,190,165,o
211,189,164,o
212,187,161,o
212,182,155,o
209,167,138,o
199,129,102,o
198,119,93,o
198,118,92,o
199,118,93,o
200,120,94,o
201,121,95,o
201,120,95,o
203,122,97,o
204,124,98,o
205,124,99,o
206,125,99,o
206,126,100,o
206,127,100,o
207,127,100,o
207,127,100,o
207,127,100,o
206,127,100,o
206,127,99,o
205,127,99,o
205,126,98,o
204,125,98,o
203,124,97,o
203,123,96,o
202,122,96,o
201,121,96,o
201,121,96,o
201,120,95,o
200,120,95,o
200,120,96,o
199,120,97,o
198,123,102,o
201,143,124,o
210,176,156,o
213,190,168,o
213,193,171,o
212,195,173,o
211,195,175,o
210,196,175,o
209,196,176,o
209,196,177,o
208,196,177,o
208,196,178,o
208,196,178,o
208,196,179,o
210,198,182,o
211,199,184,o
211,198,183,o
209,195,180,o
207,193,177,o
207,192,175,o
207,193,176,o
206,191,173,o
205,190,172,o
206,191,174,o
207,191,174,o
207,192,175,o
207,192,175,o
207,192,175,o
206,191,173,o
206,190,172,o
207,190,171,o
208,191,173,o
208,191,172,o
208,190,171,o
209,190,170,o
208,188,168,o
209,187,166,o
211,187,166,o
211,182,159,o
208,162,136,o
203,132,105,o
204,123,98,o
204,120,95,o
205,119,95,o
205,118,94,o
206,118,94,o
206,118,93,o
206,117,92,o
206,116,92,o
207,116,92,o
207,116,91,o
207,116,91,o
207,115,91,o
206,115,91,o
206,115,91,o
205,115,91,o
205,115,92,o
204,115,93,o
203,115,93,o
202,116,94,o
201,116,95,o
200,117,96,o
198,117,97,o
196,120,100,o
193,129,108,o
196,155,132,o
200,171,148,o
204,180,159,o
204,182,161,o
204,183,162,o
204,184,164,o
205,185,165,o
204,185,165,o
204,186,166,o
204,186,166,o
204,186,167,o
204,186,167,o
204,187,167,o
204,187,167,o
204,186,166,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
204,187,167,o
203,187,167,o
203,187,167,o
203,187,167,o
203,187,167,o
202,187,167,o
202,187,167,o
202,187,168,o
202,187,168,o
202,188,168,o
202,187,167,o
202,187,167,o
203,187,167,o
203,187,166,o
203,187,166,o
204,186,165,o
204,185,162,o
204,180,157,o
196,155,134,o
167,111,95,o
136,70,64,o
131,62,59,o
129,60,58,o
129,59,58,o
128,59,58,o
128,58,58,o
127,58,58,o
127,57,58,o
